# mark data_count fit_count residual
85 1.5784000000e+04 1.0043345573e+04 5.7406544274e+03
86 8.9550000000e+03 1.0114457218e+04 -1.1594572184e+03
87 8.1890000000e+03 1.0170138457e+04 -1.9811384573e+03
88 7.7220000000e+03 1.0206254528e+04 -2.4842545275e+03
89 7.7500000000e+03 1.0035710165e+04 -2.2857101653e+03
90 1.5302000000e+04 1.0090816159e+04 5.2111838407e+03
91 8.8100000000e+03 1.0130078485e+04 -1.3200784850e+03
92 7.9760000000e+03 1.0149491476e+04 -2.1734914758e+03
93 7.7160000000e+03 9.9594216092e+03 -2.2434216092e+03
94 7.8320000000e+03 9.9994628184e+03 -2.1674628184e+03
95 1.4652000000e+04 1.0023512906e+04 4.6284870944e+03
96 8.6760000000e+03 1.0027476942e+04 -1.3514769423e+03
97 7.9780000000e+03 9.8191545321e+03 -1.8411545321e+03
98 7.6400000000e+03 9.8456832357e+03 -2.2056832357e+03
99 7.4760000000e+03 9.8559631692e+03 -2.3799631692e+03
100 1.4246000000e+04 9.8462166134e+03 4.3997833866e+03
101 8.4780000000e+03 9.6212990578e+03 -1.1432990578e+03
102 7.7770000000e+03 9.6361828814e+03 -1.8591828814e+03
103 7.3800000000e+03 9.6346926027e+03 -2.2546926027e+03
104 7.3970000000e+03 9.6130623750e+03 -2.2160623750e+03
105 1.3571000000e+04 9.3736020880e+03 4.1973979120e+03
106 8.2870000000e+03 9.3789945067e+03 -1.0919945067e+03
107 7.3740000000e+03 9.3679214688e+03 -1.9939214688e+03
108 7.3590000000e+03 9.3367274759e+03 -1.9777274759e+03
109 7.2400000000e+03 9.0846881342e+03 -1.8446881342e+03
110 1.3039000000e+04 9.0830452851e+03 3.9559547149e+03
111 8.0510000000e+03 9.0647387168e+03 -1.0137387168e+03
112 7.4600000000e+03 9.0263458168e+03 -1.5663458168e+03
113 7.1520000000e+03 8.7641220255e+03 -1.6121220255e+03
114 7.1370000000e+03 8.7576181463e+03 -1.6206181463e+03
115 1.2363000000e+04 8.7346289590e+03 3.6283710410e+03
116 7.6510000000e+03 8.6914376797e+03 -1.0404376797e+03
117 7.0420000000e+03 8.4213266436e+03 -1.3793266436e+03
118 6.8870000000e+03 8.4125169718e+03 -1.5255169718e+03
119 6.9450000000e+03 8.3869062671e+03 -1.4419062671e+03
120 1.1658000000e+04 8.3414301738e+03 3.3165698262e+03
121 7.3520000000e+03 8.0656543295e+03 -7.1365432951e+02
122 7.0010000000e+03 8.0568510015e+03 -1.0558510015e+03
123 6.6710000000e+03 8.0310380255e+03 -1.3600380255e+03
124 6.5880000000e+03 7.9850913066e+03 -1.3970913066e+03
125 1.0999000000e+04 7.7059295201e+03 3.2930704799e+03
126 7.1780000000e+03 7.6992616333e+03 -5.2126163328e+02
127 6.7860000000e+03 7.6752943631e+03 -8.8929436314e+02
128 6.6270000000e+03 7.6310658555e+03 -1.0040658555e+03
129 6.5090000000e+03 7.3499027304e+03 -8.4090273041e+02
130 1.0470000000e+04 7.3475082249e+03 3.1224917751e+03
131 6.9510000000e+03 7.3271752833e+03 -3.7617528328e+02
132 6.4950000000e+03 7.2863744304e+03 -7.9137443043e+02
133 6.3010000000e+03 7.0050463041e+03 -7.0404630408e+02
134 6.3100000000e+03 7.0079519698e+03 -6.9795196979e+02
135 1.0023000000e+04 6.9930501045e+03 3.0299498955e+03
136 6.6050000000e+03 6.9570794842e+03 -3.5207948418e+02
137 6.3450000000e+03 6.6768713924e+03 -3.3187139236e+02
138 6.1250000000e+03 6.6866542918e+03 -5.6165429182e+02
139 6.1180000000e+03 6.6776695006e+03 -5.5966950063e+02
140 9.4460000000e+03 6.6479776505e+03 2.7980223495e+03
141 6.4040000000e+03 6.3698645700e+03 3.4135430019e+01
142 6.0300000000e+03 6.3874644301e+03 -3.5746443013e+02
143 5.9930000000e+03 6.3856034349e+03 -3.9260343490e+02
144 5.7870000000e+03 6.3621271034e+03 -5.7512710337e+02
145 9.0930000000e+03 6.0872212894e+03 3.0057787106e+03
146 6.1330000000e+03 6.1132543844e+03 1.9745615587e+01
147 5.9510000000e+03 6.1190354990e+03 -1.6803549901e+02
148 5.7480000000e+03 6.1026582294e+03 -3.5465822940e+02
149 5.8020000000e+03 5.8303657537e+03 -2.8365753723e+01
150 8.5040000000e+03 5.8656737964e+03 2.6383262036e+03
151 6.0740000000e+03 5.8793206602e+03 1.9467933981e+02
152 5.7200000000e+03 5.8701964087e+03 -1.5019640873e+02
153 5.5970000000e+03 5.6011661268e+03 -4.1661268063e+00
154 5.4750000000e+03 5.6446332161e+03 -1.6963321612e+02
155 8.0200000000e+03 5.6667347660e+03 2.3532652340e+03
156 5.7880000000e+03 5.6647673426e+03 1.2323265744e+02
157 5.5540000000e+03 5.3988948692e+03 1.5510513081e+02
158 5.4940000000e+03 5.4509584123e+03 4.3041587700e+01
159 5.3550000000e+03 5.4798869519e+03 -1.2488695191e+02
160 7.8260000000e+03 5.4855105238e+03 2.3404894762e+03
161 5.6420000000e+03 5.2225096620e+03 4.1949033796e+02
162 5.3650000000e+03 5.2827880326e+03 8.2211967438e+01
163 5.2380000000e+03 5.3188519856e+03 -8.0851985554e+01
164 5.1130000000e+03 5.3299846092e+03 -2.1698460922e+02
165 7.3490000000e+03 5.0702987121e+03 2.2787012879e+03
166 5.3640000000e+03 5.1382649663e+03 2.2573503366e+02
167 5.2310000000e+03 5.1808966164e+03 5.0103383636e+01
168 4.9960000000e+03 5.1978241481e+03 -2.0182414808e+02
169 5.0060000000e+03 4.9390431345e+03 6.6956865543e+01
170 7.0380000000e+03 5.0150824505e+03 2.0229175495e+03
171 5.3110000000e+03 5.0636244029e+03 2.4737559709e+02
172 4.9270000000e+03 5.0856796520e+03 -1.5867965202e+02
173 4.9790000000e+03 4.8282535931e+03 1.5074640688e+02
174 4.8470000000e+03 4.9094696801e+03 -6.2469680056e+01
175 6.6400000000e+03 4.9643933884e+03 1.6756066116e+03
176 5.1400000000e+03 4.9908689729e+03 1.4913102706e+02
177 4.9140000000e+03 4.7342038247e+03 1.7979617532e+02
178 4.7440000000e+03 4.8210742128e+03 -7.7074212791e+01
